date,open,high,low,close,adjclose,volume
2016-08-18,200.3699951171875,200.86000061035156,200.25,200.82000732421875,170.23162841796875,5211200
2016-08-19,200.33999633789062,200.72000122070312,199.80999755859375,200.5399932861328,169.99427795410156,1190800
2016-08-22,200.3000030517578,200.75,199.8800048828125,200.52000427246094,169.97731018066406,880300
2016-08-23,201.17999267578125,201.50999450683594,200.86000061035156,200.88999938964844,170.29098510742188,1214400
2016-08-24,200.77999877929688,200.8699951171875,199.4600067138672,199.9199981689453,169.46875,1161300
2016-08-25,199.47999572753906,200.2100067138672,199.3300018310547,199.75999450683594,169.33303833007812,1262600
2016-08-26,199.9600067138672,201.0500030517578,198.44000244140625,199.3800048828125,169.01104736328125,2890600
2016-08-29,199.52999877929688,200.64999389648438,199.49000549316406,200.38999938964844,169.86709594726562,1140700
2016-08-30,200.27999877929688,200.57000732421875,199.4499969482422,200.00999450683594,169.5449981689453,1407400
2016-08-31,199.6999969482422,199.82000732421875,198.64999389648438,199.52000427246094,169.12965393066406,2343900
2016-09-01,199.5,199.7899932861328,198.24000549316406,199.47999572753906,169.09573364257812,2196100
2016-09-02,200.41000366210938,200.8300018310547,199.77999877929688,200.3699951171875,169.8501434326172,1555800
2016-09-06,200.69000244140625,201.0399932861328,199.9199981689453,201.0,170.3842010498047,1589600
2016-09-07,200.82000732421875,201.14999389648438,200.32000732421875,200.99000549316406,170.37570190429688,1455400
2016-09-08,200.6199951171875,200.9199981689453,200.19000244140625,200.52000427246094,169.97731018066406,2180400
2016-09-09,199.0800018310547,199.17999267578125,195.6699981689453,195.67999267578125,165.87451171875,3435600
2016-09-12,194.8800048828125,198.9499969482422,194.8000030517578,198.47999572753906,168.24803161621094,2799900
2016-09-13,196.25,196.50999450683594,194.1199951171875,194.77999877929688,165.84947204589844,3365300
2016-09-14,194.8300018310547,196.1199951171875,194.1199951171875,194.66000366210938,165.74729919433594,2967100
2016-09-15,194.50999450683594,197.07000732421875,194.3699951171875,196.66000366210938,167.4502716064453,1874400
2016-09-16,196.02000427246094,196.19000244140625,195.1699981689453,195.88999938964844,166.7946014404297,1774100
2016-09-19,196.6300048828125,197.27999877929688,195.63999938964844,195.9499969482422,166.84567260742188,2061400
2016-09-20,196.86000061035156,197.02999877929688,195.92999267578125,195.97000122070312,166.86268615722656,1294100
2016-09-21,196.69000244140625,198.33999633789062,195.97999572753906,198.1699981689453,168.73593139648438,2238800
2016-09-22,199.25999450683594,199.7100067138672,198.97999572753906,199.36000061035156,169.74925231933594,2215200
2016-09-23,198.97999572753906,199.11000061035156,198.22000122070312,198.2899932861328,168.83815002441406,1413400
2016-09-26,197.47000122070312,197.60000610351562,196.5,196.7100067138672,167.4927978515625,2451600
2016-09-27,196.52999877929688,198.00999450683594,196.16000366210938,197.91000366210938,168.5145721435547,1468000
2016-09-28,198.17999267578125,199.07000732421875,197.1300048828125,198.97999572753906,169.42559814453125,1419900
2016-09-29,198.7100067138672,199.11000061035156,196.5399932861328,197.11000061035156,167.8333740234375,2074600
2016-09-30,198.00999450683594,199.33999633789062,197.75,198.69000244140625,169.17872619628906,3147400
2016-10-03,198.17999267578125,198.35000610351562,197.4499969482422,198.05999755859375,168.64230346679688,2136000
2016-10-04,198.25,198.47000122070312,196.47999572753906,197.13999938964844,167.85890197753906,2846600
2016-10-05,197.77000427246094,198.44000244140625,197.72000122070312,197.9600067138672,168.55715942382812,1126700
2016-10-06,197.74000549316406,198.33999633789062,197.16000366210938,198.19000244140625,168.75299072265625,1117400
2016-10-07,198.4199981689453,198.60000610351562,196.64999389648438,197.4600067138672,168.1313934326172,1795100
2016-10-10,197.4600067138672,198.9499969482422,197.4600067138672,198.3699951171875,168.90623474121094,1297400
2016-10-11,198.0,198.07000732421875,195.19000244140625,195.9600067138672,166.85421752929688,2643500
2016-10-12,196.1199951171875,196.74000549316406,195.58999633789062,196.2100067138672,167.06704711914062,1458700
2016-10-13,194.8300018310547,196.11000061035156,193.9199981689453,195.5800018310547,166.53062438964844,2407100
2016-10-14,196.64999389648438,197.1199951171875,195.61000061035156,195.6300048828125,166.57325744628906,1218800
2016-10-17,195.63999938964844,195.92999267578125,194.80999755859375,195.0500030517578,166.079345703125,1323200
2016-10-18,196.6999969482422,196.75999450683594,195.82000732421875,196.1999969482422,167.05857849121094,1263300
2016-10-19,196.49000549316406,197.0800018310547,196.1300048828125,196.74000549316406,167.51837158203125,1041300
2016-10-20,196.3699951171875,196.97000122070312,195.6999969482422,196.4199981689453,167.2458953857422,1309600
2016-10-21,195.5399932861328,196.57000732421875,195.3800048828125,196.47000122070312,167.28842163085938,1376300
2016-10-24,197.3699951171875,197.64999389648438,196.9499969482422,197.27000427246094,167.96966552734375,817000
2016-10-25,197.1300048828125,197.38999938964844,196.47999572753906,196.7100067138672,167.4927978515625,1465300
2016-10-26,195.75999450683594,196.86000061035156,195.52999877929688,196.27000427246094,167.1181640625,1202300
2016-10-27,197.0399932861328,197.07000732421875,195.64999389648438,195.75,166.67539978027344,1635500
2016-10-28,195.7100067138672,196.39999389648438,194.39999389648438,195.1300048828125,166.1474609375,2632000
2016-10-31,195.49000549316406,195.74000549316406,194.97999572753906,195.1300048828125,166.1474609375,1816300
2016-11-01,195.52000427246094,195.5399932861328,192.4499969482422,193.77000427246094,164.9894561767578,2456600
2016-11-02,193.4199981689453,193.80999755859375,192.10000610351562,192.49000549316406,163.89959716796875,3395900
2016-11-03,192.7899932861328,193.0,191.38999938964844,191.74000549316406,163.260986328125,1512200
2016-11-04,191.8000030517578,192.7100067138672,191.32000732421875,191.47999572753906,163.0396270751953,2221300
2016-11-07,194.1699981689453,195.74000549316406,194.00999450683594,195.67999267578125,166.61575317382812,2699100
2016-11-08,195.30999755859375,197.17999267578125,195.02000427246094,196.5800018310547,167.3821258544922,3055900
2016-11-09,194.94000244140625,199.33999633789062,194.9199981689453,198.67999267578125,169.170166015625,6119100
2016-11-10,199.52999877929688,200.44000244140625,197.61000061035156,199.13999938964844,169.56185913085938,5126400
2016-11-11,198.4199981689453,198.9600067138672,197.6999969482422,198.77000427246094,169.24681091308594,1954200
2016-11-14,199.3000030517578,199.49000549316406,198.05999755859375,198.8000030517578,169.27235412597656,2651000
2016-11-15,199.2899932861328,200.4199981689453,199.07000732421875,200.41000366210938,170.6432647705078,2532400
2016-11-16,199.77999877929688,200.2899932861328,199.64999389648438,200.07000732421875,170.35374450683594,1195000
2016-11-17,200.2100067138672,201.1300048828125,200.1199951171875,201.02000427246094,171.1626739501953,1178200
2016-11-18,201.16000366210938,201.32000732421875,200.44000244140625,200.66000366210938,170.85610961914062,1668300
2016-11-21,201.25,202.17999267578125,201.11000061035156,202.13999938964844,172.11631774902344,2641300
2016-11-22,202.5800018310547,202.72999572753906,201.77000427246094,202.50999450683594,172.4313201904297,2773400
2016-11-23,202.13999938964844,202.7100067138672,201.77000427246094,202.69000244140625,172.58460998535156,1466300
2016-11-25,203.0800018310547,203.5,202.9600067138672,203.5,173.2742919921875,1843100
2016-11-28,203.07000732421875,203.3699951171875,202.35000610351562,202.5399932861328,172.45684814453125,2193000
2016-11-29,202.50999450683594,203.35000610351562,202.1699981689453,202.86000061035156,172.72930908203125,1689600
2016-11-30,203.52999877929688,203.69000244140625,202.30999755859375,202.39999389648438,172.337646484375,2360100
2016-12-01,202.67999267578125,202.7100067138672,201.24000549316406,201.61000061035156,171.66500854492188,3284100
2016-12-02,201.6999969482422,202.22999572753906,201.35000610351562,201.75,171.7842254638672,2118900
2016-12-05,202.63999938964844,203.3000030517578,202.4199981689453,202.91000366210938,172.77191162109375,2070500
2016-12-06,203.1699981689453,203.6300048828125,202.63999938964844,203.6199951171875,173.37648010253906,2413300
2016-12-07,203.4499969482422,206.32000732421875,203.3000030517578,206.1999969482422,175.5732421875,2253900
2016-12-08,206.25,207.27000427246094,205.9499969482422,206.74000549316406,176.03306579589844,2983000
2016-12-09,207.02000427246094,208.02999877929688,206.97999572753906,208.0,177.10589599609375,1972000
2016-12-12,207.9199981689453,208.4199981689453,207.33999633789062,207.77000427246094,176.91006469726562,2419600
2016-12-13,208.52999877929688,209.6999969482422,208.47000122070312,209.19000244140625,178.11911010742188,2670200
2016-12-14,208.83999633789062,209.58999633789062,206.97999572753906,207.4600067138672,176.64613342285156,4232900
2016-12-15,207.72000122070312,209.22999572753906,207.5800018310547,208.22999572753906,177.3017578125,2812500
2016-12-16,208.82000732421875,208.83999633789062,207.5500030517578,207.8699951171875,176.99522399902344,3074000
2016-12-19,208.10000610351562,208.8000030517578,207.92999267578125,208.33999633789062,177.3953857421875,2042000
2016-12-20,208.9199981689453,209.30999755859375,208.67999267578125,209.13999938964844,178.07656860351562,3195300
2016-12-21,209.05999755859375,209.1999969482422,208.57000732421875,208.57000732421875,177.59124755859375,1546600
2016-12-22,207.16000366210938,207.24000549316406,206.5,207.00999450683594,177.3650665283203,1863700
2016-12-23,206.97999572753906,207.22000122070312,206.77000427246094,207.19000244140625,177.5192413330078,1278900
2016-12-27,207.47999572753906,208.14999389648438,207.47999572753906,207.6999969482422,177.95623779296875,1818500
2016-12-28,208.0,208.07000732421875,205.91000366210938,206.05999755859375,176.55104064941406,2228000
2016-12-29,206.10000610351562,206.47000122070312,205.50999450683594,206.02000427246094,176.51683044433594,1772700
2016-12-30,206.3699951171875,206.42999267578125,204.50999450683594,205.30999755859375,175.90846252441406,4251000
2017-01-03,206.67999267578125,207.3300018310547,205.55999755859375,206.74000549316406,177.1337127685547,4750200
